Collection,Strain Left,Left Indicator,Left Aroma,Left Flavor,Strain Right,Right Indicator,Right Aroma,Right Flavor
Citrus Grove,Lemon Slush,HYB,Citrus; Floral,Sweet; Sour,Dosilato,IND,Vanilla; Earthy,Sweet; Creamy
Citrus Grove,Orange Daquiri,SAT,Tropical; Citrus,Sweet; Sour,Tropical Lemonade,SAT,Floral; Citrus,Sour; Sweet
Citrus Grove,Lemon Maraschino,HYB,Cherry; Citrus,Sweet; Sour,Spritzer,HYB,Floral; Light,Sweet; Crisp
Citrus Grove,Piescream,IND,Vanilla; Cream,Sweet; Creamy,Yuzu,SAT,Citrus; Tart,Sour; Citrus
Citrus Grove,Pink Lemon,IND,Candy; Citrus,Sweet; Sour,Slurty,IND,Berry; Sweet,Sweet; Candy
Coastal Acre,Pineapple Zlushie,HYB,Tropical; Candy,Sweet; Fruity,Tropical Haze,SAT,Floral; Mango,Sweet; Tropical
Coastal Acre,Sugar Cane,SAT,Sweet; Fresh,Sweet; Citrus,Maui Jack,SAT,Tropical; Pine,Fruity; Citrus
Coastal Acre,Bubba Kush,IND,Earthy; Hash,Earthy; Coffee,Green Crack,SAT,Mango; Citrus,Fruity; Sour
Coastal Acre,Horchata,HYB,Vanilla; Spice,Sweet; Creamy,OG Kush,IND,Pine; Fuel,Earthy; Sour
Coastal Acre,Slurricane,IND,Grape; Candy,Sweet; Fruity,Guava Juice,SAT,Tropical; Floral,Fruity; Sweet
Berry Patch,Pink Zushi,HYB,Floral; Berry,Sweet; Fruity,Gooberz,IND,Candy; Earthy,Sweet; Creamy
Berry Patch,Zen Berry,IND,Berry; Floral,Sweet; Earthy,Gushmintz,IND,Mint; Sweet,Sweet; Minty
Berry Patch,Blackberry Diesel,SAT,Fuel; Berry,Earthy; Sour,Purple Haze,SAT,Floral; Grape,Sweet; Earthy
Berry Patch,Gogi Raz,IND,Earthy; Berry,Fruity; Earthy,Sour Pebbles,SAT,Candy; Sour,Sour; Sweet
Berry Patch,Very Berry,SAT,Sweet; Floral,Sweet; Fruity,Sour OG,HYB,Sour; Pine,Sour; Earthy
Legacy Loud,Blue Dream,SAT,Berry; Sweet,Sweet; Fruity,Grandaddy Purple,IND,Grape; Floral,Sweet; Earthy
Legacy Loud,Sour Diesel,SAT,Fuel; Pungent,Sour; Fuel,Gorilla Glue,HYB,Earthy; Diesel,Earthy; Fuel
Legacy Loud,White Widow,HYB,Earthy; Floral,Spicy; Earthy,Permanent Marker,HYB,Gas; Candy,Fuel; Sweet
Legacy Loud,Lemon Skunk,SAT,Citrus; Skunk,Sour; Earthy,Pineapple Haze,SAT,Tropical; Pine,Sweet; Fruity
Legacy Loud,Grape Gas,IND,Grape; Fuel,Sweet; Fuel,Zoap,HYB,Floral; Fuel,Fruity; Sour
Exotic Plot,Lemon Ozium,IND,Citrus; Fuel,Sour; Fuel,Zerbert,IND,Candy; Berry,Sweet; Fruity
Exotic Plot,Gorilla Dosha,IND,Earthy; Spice,Earthy; Fuel,Capital Haze,SAT,Haze; Citrus,Earthy; Citrus
Exotic Plot,GMochi,HYB,Sweet; Creamy,Sweet; Fruity,Astral Cookies,HYB,Vanilla; Earthy,Sweet; Earthy
Exotic Plot,Space Milk,IND,Cream; Vanilla,Sweet; Creamy,Sugar Tarts,SAT,Candy; Sour,Sour; Sweet
Exotic Plot,Gelonade,SAT,Citrus; Cream,Sweet; Sour,White Rainbow,SAT,Floral; Fruity,Sweet; Fruity
Emerald Sky,Green Lantern,HYB,Pine; Citrus,Earthy; Piney,Venom OG,SAT,Fuel; Diesel,Earthy; Fuel
Emerald Sky,Acapulco Gold,SAT,Spice; Earthy,Earthy; Sweet,Super Lemon Haze,SAT,Citrus; Haze,Sour; Sweet
Emerald Sky,Lamb's Breath,SAT,Earthy; Herbal,Earthy; Spicy,Ridgeline Runtz,IND,Fruity; Candy,Sweet; Fruity
Emerald Sky,Humboldt OG,IND,Pine; Diesel,Earthy; Fuel,Bubba Kush,IND,Earthy; Hash,Earthy; Coffee
Emerald Sky,Northern Lights,IND,Pine; Sweet,Earthy; Spicy,Moonbow,HYB,Fruity; Floral,Sweet; Fruity
Sunset Session,Amnesia Haze,SAT,Citrus; Spice,Earthy; Sour,Space Queen,HYB,Tropical; Sweet,Fruity; Sweet
Sunset Session,Whitethorn Rose,SAT,Floral; Rose,Sweet; Fruity,Lantz,SAT,Pine; Citrus,Earthy; Citrus
Sunset Session,Georgia Pie,IND,Peach; Vanilla,Sweet; Fruity,Trainwreck,IND,Pine; Lemon,Earthy; Spicy
Sunset Session,Hella Jelly,SAT,Berry; Candy,Sweet; Fruity,Platinum OG,IND,Pine; Diesel,Earthy; Fuel
Sunset Session,Lemon Head,HYB,Candy; Citrus,Sweet; Sour,Hash Plant,IND,Earthy; Hash,Earthy; Spicy
